stock_id,entry_date,exit_date,entry_price,exit_price,exit_reason,hold_days,pnl_pct
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
6213,2026-02-11,2026-02-13,121.0,265.0,PROFIT_TARGET,2,119.01
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
6213,2026-02-11,2026-02-13,121.0,265.0,PROFIT_TARGET,2,119.01
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
6213,2026-02-11,2026-02-17,121.0,286.0,PROFIT_TARGET,6,136.36
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
6213,2025-07-24,2025-07-28,91.1,104.0,PROFIT_TARGET,4,14.16
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
6213,2026-02-11,2026-02-24,121.0,133.5,PROFIT_TARGET,13,10.33
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
6213,2025-07-24,2025-07-28,91.1,104.0,PROFIT_TARGET,4,14.16
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
6213,2026-02-11,2026-02-24,121.0,133.5,PROFIT_TARGET,13,10.33
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
1303,2025-05-05,2025-05-16,31.6,31.75,TREND_EXHAUSTION,11,0.47
2379,2025-05-29,2025-06-11,541.0,562.0,TREND_EXHAUSTION,13,3.88
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2357,2025-06-05,2025-06-16,642.0,683.0,TREND_EXHAUSTION,11,6.39
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
3711,2025-06-30,2025-07-21,147.5,152.5,TIME_STOP,21,3.39
6213,2025-07-24,2025-07-28,91.1,104.0,PROFIT_TARGET,4,14.16
6505,2025-07-18,2025-07-30,38.9,43.25,PROFIT_TARGET,12,11.18
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
2002,2025-08-19,2025-08-28,20.2,20.15,TREND_EXHAUSTION,9,-0.25
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2207,2025-09-10,2025-09-23,579.0,582.0,TREND_EXHAUSTION,13,0.52
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
6213,2026-02-11,2026-02-24,121.0,133.5,PROFIT_TARGET,13,10.33
2207,2026-02-24,2026-02-26,559.0,585.0,PROFIT_TARGET,2,4.65
2357,2026-03-10,2026-03-12,531.0,581.0,PROFIT_TARGET,2,9.42
2886,2026-02-23,2026-03-16,40.95,39.0,TIME_STOP,21,-4.76
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
1303,2025-05-05,2025-05-16,31.6,31.75,TREND_EXHAUSTION,11,0.47
2379,2025-05-29,2025-06-11,541.0,562.0,TREND_EXHAUSTION,13,3.88
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2357,2025-06-05,2025-06-16,642.0,683.0,TREND_EXHAUSTION,11,6.39
2344,2025-06-05,2025-06-18,18.1,19.65,PROFIT_TARGET,13,8.56
3443,2025-06-04,2025-06-24,1180.0,1115.0,TIME_STOP,20,-5.51
3231,2025-06-13,2025-06-26,118.5,125.0,TREND_EXHAUSTION,13,5.49
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
3711,2025-06-30,2025-07-21,147.5,152.5,TIME_STOP,21,3.39
6213,2025-07-24,2025-07-28,91.1,104.0,PROFIT_TARGET,4,14.16
6505,2025-07-18,2025-07-30,38.9,43.25,PROFIT_TARGET,12,11.18
2354,2025-08-01,2025-08-05,66.1,70.1,PROFIT_TARGET,4,6.05
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
3231,2025-07-31,2025-08-20,123.0,113.5,TIME_STOP,20,-7.72
2002,2025-08-19,2025-08-28,20.2,20.15,TREND_EXHAUSTION,9,-0.25
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2207,2025-09-10,2025-09-23,579.0,582.0,TREND_EXHAUSTION,13,0.52
3231,2025-09-19,2025-09-26,121.0,128.0,PROFIT_TARGET,7,5.79
6669,2025-10-02,2025-10-03,3315.0,3465.0,PROFIT_TARGET,1,4.52
4904,2025-10-02,2025-10-15,89.0,91.8,TREND_EXHAUSTION,13,3.15
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
2347,2026-01-06,2026-01-13,61.1,64.7,PROFIT_TARGET,7,5.89
2324,2026-01-14,2026-01-27,31.35,32.3,TREND_EXHAUSTION,13,3.03
6213,2026-02-11,2026-02-24,121.0,133.5,PROFIT_TARGET,13,10.33
2207,2026-02-24,2026-02-26,559.0,585.0,PROFIT_TARGET,2,4.65
2347,2026-02-11,2026-03-03,68.7,69.5,TIME_STOP,20,1.16
2357,2026-03-10,2026-03-12,531.0,581.0,PROFIT_TARGET,2,9.42
2886,2026-02-23,2026-03-16,40.95,39.0,TIME_STOP,21,-4.76
4904,2026-02-25,2026-03-17,94.3,93.1,TIME_STOP,20,-1.27
6415,2026-03-13,2026-03-25,280.0,293.5,PROFIT_TARGET,12,4.82
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
1303,2025-05-05,2025-05-16,31.6,31.75,TREND_EXHAUSTION,11,0.47
2379,2025-05-29,2025-06-11,541.0,562.0,TREND_EXHAUSTION,13,3.88
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2357,2025-06-05,2025-06-16,642.0,683.0,TREND_EXHAUSTION,11,6.39
2344,2025-06-05,2025-06-18,18.1,19.65,PROFIT_TARGET,13,8.56
3443,2025-06-04,2025-06-24,1180.0,1115.0,TIME_STOP,20,-5.51
3231,2025-06-13,2025-06-26,118.5,125.0,TREND_EXHAUSTION,13,5.49
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
3711,2025-06-30,2025-07-21,147.5,152.5,TIME_STOP,21,3.39
6213,2025-07-24,2025-07-28,91.1,104.0,PROFIT_TARGET,4,14.16
6505,2025-07-18,2025-07-30,38.9,43.25,PROFIT_TARGET,12,11.18
2354,2025-08-01,2025-08-05,66.1,70.1,PROFIT_TARGET,4,6.05
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
3231,2025-07-31,2025-08-20,123.0,113.5,TIME_STOP,20,-7.72
2002,2025-08-19,2025-08-28,20.2,20.15,TREND_EXHAUSTION,9,-0.25
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2207,2025-09-10,2025-09-23,579.0,582.0,TREND_EXHAUSTION,13,0.52
3231,2025-09-19,2025-09-26,121.0,128.0,PROFIT_TARGET,7,5.79
6669,2025-10-02,2025-10-03,3315.0,3465.0,PROFIT_TARGET,1,4.52
4904,2025-10-02,2025-10-15,89.0,91.8,TREND_EXHAUSTION,13,3.15
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
2347,2026-01-06,2026-01-13,61.1,64.7,PROFIT_TARGET,7,5.89
2324,2026-01-14,2026-01-27,31.35,32.3,TREND_EXHAUSTION,13,3.03
6213,2026-02-11,2026-02-24,121.0,133.5,PROFIT_TARGET,13,10.33
2207,2026-02-24,2026-02-26,559.0,585.0,PROFIT_TARGET,2,4.65
2347,2026-02-11,2026-03-03,68.7,69.5,TIME_STOP,20,1.16
2357,2026-03-10,2026-03-12,531.0,581.0,PROFIT_TARGET,2,9.42
2886,2026-02-23,2026-03-16,40.95,39.0,TIME_STOP,21,-4.76
4904,2026-02-25,2026-03-17,94.3,93.1,TIME_STOP,20,-1.27
6415,2026-03-13,2026-03-25,280.0,293.5,PROFIT_TARGET,12,4.82
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
6182,2025-05-12,2025-05-15,20.65,21.9,PROFIT_TARGET,3,6.05
1303,2025-05-05,2025-05-16,31.6,31.75,TREND_EXHAUSTION,11,0.47
2880,2025-05-06,2025-05-19,27.95,27.85,TREND_EXHAUSTION,13,-0.36
2887,2025-05-15,2025-05-28,16.65,17.15,TREND_EXHAUSTION,13,3.0
3033,2025-05-14,2025-06-03,33.65,33.65,TIME_STOP,20,0.0
2379,2025-05-29,2025-06-11,541.0,562.0,TREND_EXHAUSTION,13,3.88
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
3533,2025-06-09,2025-06-18,1360.0,1435.0,TREND_EXHAUSTION,9,5.51
5269,2025-06-11,2025-06-19,2020.0,1800.0,STOP_LOSS,8,-10.89
3443,2025-06-04,2025-06-24,1180.0,1115.0,TIME_STOP,20,-5.51
3231,2025-06-13,2025-06-26,118.5,125.0,TREND_EXHAUSTION,13,5.49
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
6196,2025-06-18,2025-07-01,179.0,190.0,TREND_EXHAUSTION,13,6.15
2356,2025-06-13,2025-07-03,43.8,44.35,TIME_STOP,20,1.26
2880,2025-06-27,2025-07-17,27.5,29.0,TIME_STOP,20,5.45
5222,2025-07-11,2025-07-24,119.0,121.0,TREND_EXHAUSTION,13,1.68
6213,2025-07-24,2025-07-28,91.1,104.0,PROFIT_TARGET,4,14.16
6789,2025-07-16,2025-08-05,232.0,232.5,TIME_STOP,20,0.22
3413,2025-07-17,2025-08-06,312.0,307.5,TIME_STOP,20,-1.44
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
3231,2025-07-31,2025-08-20,123.0,113.5,TIME_STOP,20,-7.72
6533,2025-08-27,2025-09-03,287.0,303.0,PROFIT_TARGET,7,5.57
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
6182,2025-09-04,2025-09-12,24.75,27.1,PROFIT_TARGET,8,9.49
2207,2025-09-10,2025-09-23,579.0,582.0,TREND_EXHAUSTION,13,0.52
3231,2025-09-19,2025-09-26,121.0,128.0,PROFIT_TARGET,7,5.79
6669,2025-10-02,2025-10-03,3315.0,3465.0,PROFIT_TARGET,1,4.52
3583,2025-09-23,2025-10-13,388.0,377.0,TIME_STOP,20,-2.84
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
1402,2025-11-18,2025-11-28,27.9,28.2,TREND_EXHAUSTION,10,1.08
6416,2025-12-12,2025-12-24,84.0,84.6,TREND_EXHAUSTION,12,0.71
1101,2025-12-15,2026-01-05,22.85,23.1,TIME_STOP,21,1.09
5222,2025-12-22,2026-01-12,136.0,132.5,TIME_STOP,21,-2.57
2345,2026-01-15,2026-01-30,1240.0,1115.0,STOP_LOSS,15,-10.08
6213,2026-02-11,2026-02-24,121.0,133.5,PROFIT_TARGET,13,10.33
2207,2026-02-24,2026-02-26,559.0,585.0,PROFIT_TARGET,2,4.65
2886,2026-02-23,2026-03-16,40.95,39.0,TIME_STOP,21,-4.76
4938,2026-02-25,2026-03-17,73.1,78.2,PROFIT_TARGET,20,6.98
6438,2026-03-05,2026-03-20,155.5,173.0,PROFIT_TARGET,15,11.25
6415,2026-03-13,2026-03-25,280.0,293.5,PROFIT_TARGET,12,4.82
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
2356,2026-04-09,2026-04-20,43.8,46.6,PROFIT_TARGET,11,6.39
8028,2026-04-13,2026-04-23,196.5,220.0,PROFIT_TARGET,10,11.96
